,0,0
0,-0.0,
1,0.0,
2,0.0,
3,0.0,
4,0.0,
5,-0.0,
6,0.0,
7,-0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,-0.0,
18,0.0,
19,-0.0,
20,-0.0,
21,-0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,1.0,
27,0.0,
28,-0.0,
29,0.0,
30,-0.0,
31,0.0,
32,-0.0,
33,0.0,
34,-0.0,
35,0.0,
36,-0.0,
37,1.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,1.0,
49,0.0,
50,-0.0,
51,0.0,
52,0.0,
53,0.0,
54,0.0,
55,0.0,
56,0.0,
57,0.0,
58,0.0,
59,0.0,
60,0.0,
61,0.0,
62,0.0,
63,0.0,
64,0.0,
65,1.0,
66,0.0,
67,0.0,
68,1.0,
69,0.0,
70,-0.0,
71,0.0,
72,-0.0,
73,0.0,
74,0.0,
75,-0.0,
76,0.0,
77,0.0,
78,0.0,
79,0.0,
80,0.0,
81,0.0,
82,0.0,
83,-0.0,
84,-0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.0,
89,-0.0,
90,0.0,
91,0.0,
92,0.0,
93,0.0,
94,0.0,
95,0.0,
96,0.0,
97,0.0,
98,-0.0,
99,0.0,
900,,0.0
901,,0.0
902,,0.0
903,,0.0
904,,0.0
905,,0.0
906,,1.0
907,,0.0
908,,0.0
909,,0.0
910,,0.0
911,,0.0
912,,0.0
913,,0.0
914,,0.0
915,,0.0
916,,0.0
917,,0.0
918,,0.0
919,,0.0
920,,0.0
921,,0.0
922,,0.0
923,,0.0
924,,0.0
925,,0.0
926,,1.0
927,,0.0
928,,0.0
929,,1.0
930,,0.0
931,,0.0
932,,0.0
933,,0.0
934,,0.0
935,,0.0
936,,0.0
937,,0.0
938,,0.0
939,,0.0
940,,0.0
941,,0.0
942,,0.0
943,,0.0
944,,0.0
945,,0.0
946,,0.0
947,,0.0
948,,1.0
949,,0.0
950,,0.0
951,,0.0
952,,0.0
953,,0.0
954,,0.0
955,,0.0
956,,1.0
957,,0.0
958,,0.0
959,,0.0
960,,0.0
961,,0.0
962,,0.0
963,,0.0
964,,0.0
965,,1.0
966,,0.0
967,,0.0
968,,1.0
969,,0.0
970,,0.0
971,,0.0
972,,0.0
973,,0.0
974,,0.0
975,,0.0
976,,0.0
977,,0.0
978,,0.0
979,,0.0
980,,0.0
981,,0.0
982,,0.0
983,,0.0
984,,0.0
985,,0.0
986,,0.0
987,,1.0
988,,0.0
989,,0.0
990,,0.0
991,,0.0
992,,0.0
993,,0.0
994,,0.0
995,,0.0
996,,0.0
997,,0.0
998,,0.0
999,,0.0
